No,FIFA_Rank,Player,Abbr,Country,Confederation,Pos,Passes_Att,Passes_Cmp,Cmp_pct
356,726,Michael Gregoritsch,AUT,Austria,UEFA,FW,29,20,68.97
357,726,Ruben Neves,POR,Portugal,UEFA,MF,29,27,93.1
358,739,Patrik Schick,CZE,Czechia,UEFA,FW,28,24,85.71
359,743,Jose Canale,PAR,Paraguay,CONMEBOL,DF,27,18,66.67
360,743,Kevin Rodriguez,ECU,Ecuador,CONMEBOL,FW,27,23,85.19
361,749,Brian Rodriguez,URU,Uruguay,CONMEBOL,FW,26,19,73.08
362,749,Neymar Jr,BRA,Brazil,CONMEBOL,FW,26,21,80.77
363,749,Adam Hlozek,CZE,Czechia,UEFA,FW,26,18,69.23
364,753,Darwin Nunez,URU,Uruguay,CONMEBOL,FW,25,20,80.0
365,753,Alexander Prass,AUT,Austria,UEFA,MF,25,22,88.0
366,759,Sasa Kalajdzic,AUT,Austria,UEFA,FW,24,16,66.67
367,759,Jorgen Strand Larsen,NOR,Norway,UEFA,FW,24,18,75.0
368,759,Kristian Thorstvedt,NOR,Norway,UEFA,MF,24,19,79.17
369,759,Armin Gigovic,BIH,Bosnia and Herzegovina,UEFA,MF,24,17,70.83
370,759,Martin Zubimendi,ESP,Spain,UEFA,MF,24,22,91.67
371,759,Can Uzun,TUR,Türkiye,UEFA,FW,24,22,91.67
372,768,Deiver Machado,COL,Colombia,CONMEBOL,DF,23,22,95.65
373,768,Gabriel Avalos,PAR,Paraguay,CONMEBOL,FW,23,12,52.17
374,768,Henrik Falchener,NOR,Norway,UEFA,DF,23,18,78.26
375,779,Stepan Chaloupek,CZE,Czechia,UEFA,DF,22,15,68.18
376,779,Roger Ibanez,BRA,Brazil,CONMEBOL,DF,22,22,100.0
377,789,Brian Brobbey,NED,Netherlands,UEFA,FW,21,18,85.71
378,789,Ivan Toney,ENG,England,UEFA,FW,21,15,71.43
379,789,Fredrik Andre Bjorkan,NOR,Norway,UEFA,DF,21,19,90.48
380,796,Nadiem Amiri,GER,Germany,UEFA,MF,20,17,85.0
381,796,Andrej Kramaric,CRO,Croatia,UEFA,FW,20,17,85.0
382,796,Valentin Barco,ARG,Argentina,CONMEBOL,MF,20,17,85.0
383,796,Endrick,BRA,Brazil,CONMEBOL,FW,20,16,80.0
