No,FIFA_Rank,Player,Abbr,Country,Confederation,Pos,Passes_Att,Passes_Cmp,Cmp_pct
76,100,James Rodriguez,COL,Colombia,CONMEBOL,MF,237,199,83.97
77,104,Kylian Mbappe,FRA,France,UEFA,FW,232,201,86.64
78,105,Jude Bellingham,ENG,England,UEFA,MF,231,191,82.68
79,107,Nicolas Raskin,BEL,Belgium,UEFA,MF,230,197,85.65
80,108,Dani Olmo,ESP,Spain,UEFA,FW,229,207,90.39
81,109,Mathias Olivera,URU,Uruguay,CONMEBOL,DF,226,213,94.25
82,112,Mike Maignan,FRA,France,UEFA,GK,225,179,79.56
83,113,Casemiro,BRA,Brazil,CONMEBOL,MF,224,200,89.29
84,114,David Alaba,AUT,Austria,UEFA,DF,222,198,89.19
85,118,Nathan Ngoy,BEL,Belgium,UEFA,DF,219,205,93.61
86,119,Alex Baena,ESP,Spain,UEFA,MF,218,178,81.65
87,121,Nicolas Tagliafico,ARG,Argentina,CONMEBOL,DF,217,190,87.56
88,122,Nico Oreilly,ENG,England,UEFA,DF,216,200,92.59
89,123,Julian Alvarez,ARG,Argentina,CONMEBOL,FW,215,183,85.12
90,124,Daniel Munoz,COL,Colombia,CONMEBOL,DF,213,194,91.08
91,128,Mateo Kovacic,CRO,Croatia,UEFA,MF,208,198,95.19
92,130,Gustaf Lagerbielke,SWE,Sweden,UEFA,DF,206,173,83.98
93,131,Orjan Nyland,NOR,Norway,UEFA,GK,204,138,67.65
94,132,Camilo Vargas,COL,Colombia,CONMEBOL,GK,202,157,77.72
95,132,Johan Mojica,COL,Colombia,CONMEBOL,DF,202,161,79.7
96,135,Lewis Ferguson,SCO,Scotland,UEFA,MF,201,185,92.04
97,135,Djed Spence,ENG,England,UEFA,DF,201,177,88.06
98,138,Marin Pongracic,CRO,Croatia,UEFA,DF,200,182,91.0
99,138,Bruno Guimaraes,BRA,Brazil,CONMEBOL,MF,200,161,80.5
100,138,Victor Lindelof,SWE,Sweden,UEFA,DF,200,190,95.0
101,143,Leandro Trossard,BEL,Belgium,UEFA,FW,199,171,85.93
102,147,Arda Guler,TUR,Türkiye,UEFA,FW,198,170,85.86
103,147,Thibaut Courtois,BEL,Belgium,UEFA,GK,198,144,72.73
104,149,Desire Doue,FRA,France,UEFA,FW,196,167,85.2
105,154,Lucas Paqueta,BRA,Brazil,CONMEBOL,MF,190,162,85.26
106,154,Hakan Calhanoglu,TUR,Türkiye,UEFA,MF,190,171,90.0
107,157,Piero Hincapie,ECU,Ecuador,CONMEBOL,DF,189,160,84.66
108,157,Leroy Sane,GER,Germany,UEFA,MF,189,161,85.19
109,159,Reece James,ENG,England,UEFA,DF,188,173,92.02
110,161,Nicolas Otamendi,ARG,Argentina,CONMEBOL,DF,187,178,95.19
111,163,David Moller Wolfe,NOR,Norway,UEFA,DF,186,162,87.1
112,164,Kevin De Bruyne,BEL,Belgium,UEFA,MF,185,153,82.7
113,164,Denis Zakaria,SUI,Switzerland,UEFA,MF,185,160,86.49
114,166,Joao Cancelo,POR,Portugal,UEFA,DF,184,160,86.96
115,166,John Stones,ENG,England,UEFA,DF,184,178,96.74
116,173,Jack Hendry,SCO,Scotland,UEFA,DF,180,171,95.0
117,174,Denzel Dumfries,NED,Netherlands,UEFA,DF,179,147,82.12
118,175,Fredrik Aursnes,NOR,Norway,UEFA,MF,178,158,88.76
119,177,Ferdi Kadioglu,TUR,Türkiye,UEFA,DF,175,161,92.0
120,178,Rodrigo Bentancur,URU,Uruguay,CONMEBOL,MF,174,157,90.23
121,178,Patrick Berg,NOR,Norway,UEFA,MF,174,161,92.53
122,180,Sead Kolasinac,BIH,Bosnia and Herzegovina,UEFA,DF,173,141,81.5
123,181,Sebastian Caceres,URU,Uruguay,CONMEBOL,DF,172,154,89.53
124,184,Thiago Almada,ARG,Argentina,CONMEBOL,FW,170,154,90.59
125,189,Luis Diaz,COL,Colombia,CONMEBOL,FW,166,145,87.35
126,192,Nikola Katic,BIH,Bosnia and Herzegovina,UEFA,DF,165,148,89.7
127,194,Kevin Danso,AUT,Austria,UEFA,DF,164,147,89.63
128,194,Arthur Theate,BEL,Belgium,UEFA,DF,164,153,93.29
129,194,Hans Vanaken,BEL,Belgium,UEFA,MF,164,153,93.29
130,197,Facundo Medina,ARG,Argentina,CONMEBOL,DF,163,150,92.02
131,200,Josip Stanisic,CRO,Croatia,UEFA,DF,162,140,86.42
132,203,Ladislav Krejci,CZE,Czechia,UEFA,DF,160,135,84.38
133,205,Orlando Gill,PAR,Paraguay,CONMEBOL,GK,159,68,42.77
134,208,Nikola Vasilj,BIH,Bosnia and Herzegovina,UEFA,GK,155,94,60.65
135,208,Pedro Neto,POR,Portugal,UEFA,FW,155,137,88.39
136,213,Nicolas Seiwald,AUT,Austria,UEFA,MF,153,141,92.16
137,213,Andy Robertson,SCO,Scotland,UEFA,DF,153,124,81.05
138,213,Stjepan Radeljic,BIH,Bosnia and Herzegovina,UEFA,DF,153,137,89.54
139,213,Tarik Muharemovic,BIH,Bosnia and Herzegovina,UEFA,DF,153,132,86.27
140,218,Marcos Llorente,ESP,Spain,UEFA,DF,152,142,93.42
141,222,Konrad Laimer,AUT,Austria,UEFA,MF,150,130,86.67
142,222,Ivan Perisic,CRO,Croatia,UEFA,FW,150,132,88.0
143,224,Julian Ryerson,NOR,Norway,UEFA,FW,149,131,87.92
144,224,Theo Hernandez,FRA,France,UEFA,DF,149,139,93.29
145,224,Mikel Oyarzabal,ESP,Spain,UEFA,FW,149,124,83.22
146,229,Alan Franco,ECU,Ecuador,CONMEBOL,MF,148,140,94.59
147,231,Gabriel Gudmundsson,SWE,Sweden,UEFA,DF,147,112,76.19
148,231,Gonzalo Plata,ECU,Ecuador,CONMEBOL,FW,147,118,80.27
149,238,Vinicius Junior,BRA,Brazil,CONMEBOL,FW,142,116,81.69
150,243,Philipp Lienhart,AUT,Austria,UEFA,DF,140,128,91.43
151,247,Xaver Schlager,AUT,Austria,UEFA,MF,138,130,94.2
152,249,Manuel Ugarte,URU,Uruguay,CONMEBOL,MF,136,118,86.76
153,254,Guillermo Varela,URU,Uruguay,CONMEBOL,DF,134,119,88.81
154,255,Alisson,BRA,Brazil,CONMEBOL,GK,132,107,81.06
155,255,Stefan Posch,AUT,Austria,UEFA,DF,132,98,74.24
156,257,Nathaniel Brown,GER,Germany,UEFA,DF,131,115,87.79
157,257,Felix Nmecha,GER,Germany,UEFA,MF,131,120,91.6
158,262,Maxence Lacroix,FRA,France,UEFA,DF,130,125,96.15
159,265,Manuel Neuer,GER,Germany,UEFA,GK,129,118,91.47
160,265,Dominik Livakovic,CRO,Croatia,UEFA,GK,129,95,73.64
161,265,Juan Jose Caceres,PAR,Paraguay,CONMEBOL,DF,129,80,62.02
162,271,Isak Hien,SWE,Sweden,UEFA,DF,128,122,95.31
163,273,Petar Sucic,CRO,Croatia,UEFA,MF,127,110,86.61
164,276,Marcel Sabitzer,AUT,Austria,UEFA,MF,126,94,74.6
165,276,Ryan Gravenberch,NED,Netherlands,UEFA,MF,126,111,88.1
166,278,Diogo Costa,POR,Portugal,UEFA,GK,125,98,78.4
167,283,Merih Demiral,TUR,Türkiye,UEFA,DF,124,119,95.97
168,285,Bart Verbruggen,NED,Netherlands,UEFA,GK,123,89,72.36
169,285,Nathan Ake,NED,Netherlands,UEFA,DF,123,112,91.06
170,285,Alexander Schlager,AUT,Austria,UEFA,GK,123,106,86.18
171,285,Nico Schlotterbeck,GER,Germany,UEFA,DF,123,110,89.43
172,294,Kenan Yildiz,TUR,Türkiye,UEFA,FW,121,108,89.26
173,294,Morgan Rogers,ENG,England,UEFA,MF,121,102,84.3
174,297,Federico Valverde,URU,Uruguay,CONMEBOL,MF,120,98,81.67
175,299,Angus Gunn,SCO,Scotland,UEFA,GK,119,90,75.63
176,301,Andres Cubas,PAR,Paraguay,CONMEBOL,MF,117,97,82.91
177,301,Kai Havertz,GER,Germany,UEFA,FW,117,101,86.32
178,301,Bradley Barcola,FRA,France,UEFA,FW,117,106,90.6
179,301,Micky Van De Ven,NED,Netherlands,UEFA,DF,117,105,89.74
180,309,Thomas Meunier,BEL,Belgium,UEFA,DF,116,98,84.48
181,309,Junior Alonso,PAR,Paraguay,CONMEBOL,DF,116,69,59.48
182,309,Robin Hranac,CZE,Czechia,UEFA,DF,116,104,89.66
183,318,Joel Ordonez,ECU,Ecuador,CONMEBOL,DF,113,101,89.38
184,318,Matias Galarza,PAR,Paraguay,CONMEBOL,MF,113,82,72.57
185,318,Anthony Gordon,ENG,England,UEFA,FW,113,96,84.96
186,326,Oscar Bobb,NOR,Norway,UEFA,MF,111,102,91.89
187,326,Ismail Yuksek,TUR,Türkiye,UEFA,MF,111,104,93.69
188,331,Vladimir Coufal,CZE,Czechia,UEFA,DF,110,79,71.82
189,331,Alexander Sorloth,NOR,Norway,UEFA,FW,110,88,80.0
190,335,Nathan Patterson,SCO,Scotland,UEFA,DF,109,94,86.24
191,335,Nico Gonzalez,ARG,Argentina,CONMEBOL,MF,109,90,82.57
192,343,Yasin Ayari,SWE,Sweden,UEFA,MF,107,84,78.5
193,343,Benjamin Tahirovic,BIH,Bosnia and Herzegovina,UEFA,MF,107,91,85.05
194,343,Marcus Holmgren Pedersen,NOR,Norway,UEFA,DF,107,87,81.31
195,350,Jarell Quansah,ENG,England,UEFA,DF,106,92,86.79
196,356,Hernan Galindez,ECU,Ecuador,CONMEBOL,GK,105,70,66.67
197,361,John Yeboah,ECU,Ecuador,CONMEBOL,FW,104,85,81.73
198,361,Marcus Rashford,ENG,England,UEFA,FW,104,92,88.46
