Federation,Count,Mean,Median,Std_Dev,Min,Max,IQR
CONMEBOL,20,0.0764,0.0,0.1599,0.0,0.5,0.0278
UEFA,20,0.1192,0.0,0.2511,0.0,1.0,0.125
