No,Player,Country,Confederation,Pos,Pos_main,90s,TklW,TklW_90
159,Nicolás Otamendi,Argentina,CONMEBOL,DF,DF,2.7,2,0.741
160,Mikel Oyarzabal,Spain,UEFA,FW,FW,6.7,5,0.746
161,Willian Pacho,Ecuador,CONMEBOL,DF,DF,4.0,2,0.5
162,Lucas Paquetá,Brazil,CONMEBOL,MF,MF,2.6,4,1.538
163,Leandro Paredes,Argentina,CONMEBOL,MF,MF,5.3,6,1.132
164,Nathan Patterson,Scotland,UEFA,DF,DF,2.1,2,0.952
165,Aleksandar Pavlovic,Germany,UEFA,MF,MF,3.0,3,1.0
166,Marcus Pedersen,Norway,UEFA,DF,DF,2.6,2,0.769
167,Pedri,Spain,UEFA,MF,MF,5.5,8,1.455
168,Ivan Perišić,Croatia,UEFA,MFDF,MF,4.0,4,1.0
169,Gonzalo Plata,Ecuador,CONMEBOL,FW,FW,4.0,5,1.25
170,Marin Pongračić,Croatia,UEFA,DF,DF,3.0,3,1.0
171,Pedro Porro,Spain,UEFA,DF,DF,6.3,11,1.746
172,Stefan Posch,Austria,UEFA,DF,DF,3.7,4,1.081
173,Gustavo Puerta,Colombia,CONMEBOL,MF,MF,5.2,3,0.577
174,Jarell Quansah,England,UEFA,DF,DF,2.2,0,0.0
175,Adrien Rabiot,France,UEFA,MF,MF,6.5,7,1.077
176,Stjepan Radeljić,Bosnia–Herz,UEFA,DF,DF,2.0,1,0.5
177,Marcus Rashford,England,UEFA,MF,MF,2.5,2,0.8
178,Nicolas Raskin,Belgium,UEFA,MF,MF,3.8,5,1.316
179,Rayan,Brazil,CONMEBOL,FWMF,FW,3.2,4,1.25
180,Tijjani Reijnders,Netherlands,UEFA,MF,MF,2.2,0,0.0
181,Declan Rice,England,UEFA,MF,MF,6.2,3,0.484
182,Fabian Rieder,Switzerland,UEFA,MFFW,MF,3.4,3,0.882
183,Andy Robertson,Scotland,UEFA,DF,DF,2.5,1,0.4
184,Rodri,Spain,UEFA,MF,MF,8.0,20,2.5
185,James Rodríguez,Colombia,CONMEBOL,FWMF,FW,3.5,1,0.286
186,Ricardo Rodríguez,Switzerland,UEFA,DF,DF,5.7,7,1.228
187,Morgan Rogers,England,UEFA,MF,MF,3.8,3,0.789
188,Cristian Romero,Argentina,CONMEBOL,DF,DF,6.8,10,1.471
189,Cristiano Ronaldo,Portugal,UEFA,FW,FW,4.9,1,0.204
190,Antonio Rüdiger,Germany,UEFA,DF,DF,2.9,0,0.0
191,Fabián Ruiz Peña,Spain,UEFA,MF,MF,3.6,3,0.833
